nakhodka.2014-05-09 13.04.50+0400.csv
Timestamp,Lat,Lon,Accuracy(m),Speed(m\s),Distance(m),Course,Heading,dHeading,nHeading,Roll,dRoll,Pitch,dPitch,nMotion,X_accel,dX_accel,Y_accel,dY_accel,Z_accel,dZ_accel,nAccel
2014-05-09 13:05:20.485,43.514538333333334,16.240441666666666,8.3,0,5126776.1334,202.9312,,,-1.0,,,,,-1.0,-2.566,0.1445,-0.3251,0.0749,9.7224,0.2225,-1.0
2014-05-09 13:05:23.593,43.51454999999999,16.24042166666667,7.7,0.0007,2.0721,128.8124,,,-1.0,,,,,-1.0,-2.5457,0.1471,-0.3235,0.0699,9.7151,0.2225,-1.0
2014-05-09 13:05:47.488,43.514534999999995,16.240281666666665,6.4,0.0005,11.4247,81.5957,,,-1.0,,,,,-1.0,-2.5514,0.1451,-0.3366,0.0612,9.7216,0.2139,-1.0
2014-05-09 13:05:50.722,43.514540000000004,16.24028,6.3,0.0002,0.5726,166.4104,,,-1.0,,,,,-1.0,-2.5452,0.1436,-0.335,0.0649,9.7375,0.2088,-1.0
2014-05-09 13:06:46.307,43.51451999999999,16.240423333333336,4,0.0002,11.7834,280.8912,,,-1.0,,,,,-1.0,-2.5154,0.1558,-0.3267,0.079,9.7254,0.2096,-1.0
2014-05-09 13:06:49.301,43.51450833333333,16.240425000000002,3.8,0.0004,1.3057,354.0853,,,-1.0,,,,,-1.0,-2.86,0.0721,-0.306,0,9.858,0.0721,-1.0
2014-05-09 13:06:52.302,43.51450333333334,16.240403333333333,3.6,0.0006,1.8355,72.3482,,,-1.0,,,,,-1.0,-2.681,0.077,-0.2805,0.057,9.5512,0.1445,-1.0
2014-05-09 13:06:55.299,43.51450499999999,16.240403333333333,3.3,0.0001,0.1855,180,,,-1.0,,,,,-1.0,-2.7067,0.0726,-0.306,0,9.858,0.0721,-1.0
2014-05-09 13:08:16.317,43.51449833333333,16.240358333333333,2.9,0,3.7078,78.4541,,,-1.0,,,,,-1.0,-2.5189,0.2047,-0.3466,0.0933,9.7347,0.2228,-1.0
2014-05-09 13:08:19.320,43.51451166666667,16.240348333333333,2.8,0.0006,1.6896,151.4582,,,-1.0,,,,,-1.0,-2.4765,0.1373,-0.306,0,9.7045,0.2285,-1.0
2014-05-09 13:08:21.320,43.51451999999999,16.24034,2.9,0.0006,1.1459,144.0504,,,-1.0,,,,,-1.0,-2.5275,0.1325,-0.3442,0.0663,9.9215,0.1671,-1.0
2014-05-09 13:08:24.315,43.51453,16.240326666666665,2.8,0.0005,1.5485,135.9631,,,-1.0,,,,,-1.0,-2.3745,0.1169,-0.255,0.0721,9.5257,0.1636,-1.0
2014-05-09 13:08:27.317,43.514538333333334,16.240318333333335,2.9,0.0004,1.1459,144.0504,,,-1.0,,,,,-1.0,-2.6043,0.2341,-0.0765,0.1169,9.73,0.193,-1.0
2014-05-09 13:08:30.317,43.51454166666667,16.240318333333335,2.9,0.0001,0.3711,180,,,-1.0,,,,,-1.0,-2.4512,0.1978,0,0.0883,9.73,0.1469,-1.0
2014-05-09 13:08:33.317,43.514516666666665,16.24037333333333,2.9,0.0017,5.2402,302.079,,,-1.0,,,,,-1.0,-2.63,0.206,-0.102,0.0721,9.73,0.1469,-1.0
2014-05-09 13:08:36.307,43.51449833333333,16.240413333333333,3,0.0013,3.82,302.2933,,,-1.0,,,,,-1.0,-2.5022,0.2449,-0.0765,0.0765,9.7298,0.1173,-1.0
2014-05-09 13:08:38.310,43.51447499999999,16.24045166666667,4,0.002,4.0402,310.0084,,,-1.0,,,,,-1.0,-2.451,0.1249,-0.153,0,9.8067,0.1253,-1.0
2014-05-09 13:08:40.317,43.51445666666667,16.240483333333334,3.7,0.0016,3.2711,308.6013,,,-1.0,,,,,-1.0,-2.4128,0.1269,-0.1912,0.0663,9.73,0.077,-1.0
2014-05-09 13:08:43.318,43.514403333333334,16.24053,3.4,0.0023,7.0315,327.6028,,,-1.0,,,,,-1.0,-1.9662,0.241,-0.1275,0.057,9.8322,0.1378,-1.0
2014-05-09 13:08:46.323,43.51428666666667,16.24058,6.4,0.0045,13.6001,342.7347,,,-1.0,,,,,-1.0,-1.9918,0.168,-0.153,0,9.8374,0.1148,-1.0
2014-05-09 13:08:49.310,43.51423333333334,16.24058,4.8,0.002,5.937,0,,,-1.0,,,,,-1.0,-2.3592,0.156,-0.2142,0.075,9.776,0.2034,-1.0
2014-05-09 13:08:52.344,43.514174999999994,16.240560000000002,4.3,0.0022,6.6914,13.9629,,,-1.0,,,,,-1.0,-1.5573,0.224,-0.1275,0.057,9.8067,0.1771,-1.0
2014-05-09 13:08:55.328,43.51412833333334,16.240470000000002,3.7,0.003,8.9318,54.4353,,,-1.0,,,,,-1.0,-2.2213,0.2615,-0.102,0.114,9.883,0.2464,-1.0
